A,B,C,target
69,47,73,52
46,97,36,1
21,61,59,43
50,89,95,56
34,90,91,16
85,45,69,46
49,76,59,54
24,8,23,24
10,97,63,56
69,77,14,40
82,21,49,74
46,19,36,59
33,97,61,97
93,29,19,64
2,97,75,30
50,10,37,74
80,4,91,95
94,87,66,67
87,2,68,68
69,41,18,65
81,28,6,34
35,16,45,30
46,7,73,38
54,68,87,93
22,87,52,81
18,70,81,66
37,91,1,80
39,23,63,29
66,65,66,33
20,78,73,45
63,59,75,27
0,59,56,1
7,32,59,12
64,55,11,25
30,12,41,29
46,80,92,46
39,18,63,63
55,90,43,59
59,28,87,54
31,48,72,33
38,51,47,39
21,79,22,45
43,84,66,71
77,19,76,33
19,63,3,60
85,14,20,74
20,89,95,74
1,83,95,95
67,57,21,71
90,89,18,72
17,87,29,89
56,59,28,77
86,23,2,80
22,1,92,67
20,78,9,84
77,37,98,40
48,21,88,55
73,80,72,64
2,13,37,62
97,97,64,58
98,24,72,27
40,57,72,85
69,64,49,56
34,20,64,17
75,13,39,89
30,89,40,89
35,84,88,80
40,50,39,75
81,95,48,16
22,88,63,13
74,67,0,42
34,76,18,31
4,73,39,78
28,78,47,1
2,0,34,91
70,13,23,72
79,66,24,57
72,32,70,37
38,32,35,36
32,33,11,16
17,21,73,56
6,79,52,99
82,91,51,64
73,5,27,59
81,36,33,84
9,64,52,60
54,27,11,80
67,7,41,6
98,89,76,45
2,38,10,14
36,20,91,33
69,41,72,77
83,89,57,46
25,83,3,3
85,79,76,47
7,92,84,71
84,70,74,19
72,3,42,4
75,35,98,26
52,69,14,78
67,60,47,51
1,63,4,19
24,55,74,97
84,25,81,14
16,33,91,3
19,27,7,2
84,22,69,37
70,98,63,15
70,28,83,56
80,43,49,16
5,49,72,52
81,7,52,69
15,0,48,42
46,0,93,83
90,77,92,48
47,85,46,43
0,91,12,24
88,24,26,48
67,73,24,16
11,2,51,9
64,57,44,43
35,0,79,14
28,65,5,37
40,59,77,64
70,43,11,2
43,89,53,25
72,75,70,47
46,94,99,96
40,5,23,6
6,31,54,61
44,43,89,43
79,16,33,29
37,31,10,15
49,49,32,13
30,55,68,17
3,31,40,15
54,52,76,38
17,60,4,55
61,31,43,28
24,72,43,27
21,20,11,86
79,39,64,46
75,96,6,45
92,51,31,73
53,43,92,6
39,22,69,40
38,47,42,91
98,20,1,39
31,61,79,73
13,70,75,5
52,79,81,77
91,1,5,20
12,70,26,90
17,80,88,16
70,48,29,30
24,61,93,34
16,43,22,9
7,41,88,45
97,32,1,69
23,95,36,41
46,64,23,69
32,86,72,43
38,60,41,6
85,55,58,79
16,33,39,12
35,90,81,16
41,12,99,88
11,95,27,20
31,79,95,74
26,63,35,98
42,77,93,54
27,59,7,39
36,45,65,46
98,70,72,58
3,53,40,17
3,35,10,60
52,29,26,52
36,67,90,15
61,21,67,12
11,94,55,51
64,69,24,72
15,94,12,36
52,31,83,81
57,55,84,48
22,93,86,46
70,88,94,72
98,59,98,13
68,51,3,36
0,47,20,33
23,41,26,58
4,51,25,35
61,79,47,36
82,74,37,19
21,14,47,63
41,1,67,36
28,65,49,19
51,99,5,5
75,44,16,74
44,95,35,92
32,38,78,4
91,0,11,68
74,76,67,30
63,51,51,60
60,23,17,97
82,40,12,7
87,93,53,44
41,90,45,51
77,70,84,28
18,16,88,95
20,46,52,64
73,15,57,3
2,42,1,83
41,80,6,34
65,44,60,23
43,58,62,55
9,6,14,72
77,2,39,53
55,17,26,60
38,86,17,90
24,28,38,95
9,98,13,84
78,92,73,99
39,85,16,31
3,41,79,47
82,87,16,45
22,29,37,98
77,61,87,48
16,71,97,75
36,92,41,46
50,28,4,81
61,97,23,97
35,79,99,56
7,11,26,76
55,39,8,72
86,49,5,19
46,9,80,77
50,9,58,8
26,34,35,60
61,28,98,71
92,8,42,77
26,12,73,48
25,16,26,94
5,21,4,92
80,11,35,21
87,74,21,68
74,64,80,78
42,89,90,52
68,21,7,8
65,11,62,30
69,85,80,77
79,88,7,78
45,96,98,95
17,67,88,17
6,59,29,76
65,17,16,95
65,95,13,43
61,28,2,93
94,53,55,88
18,20,33,39
75,90,24,59
18,81,96,42
48,67,31,56
0,44,47,19
69,71,40,89
67,52,29,73
91,17,43,92
32,98,66,57
64,98,38,2
75,84,91,27
91,69,20,88
63,71,29,87
11,28,82,52
35,33,72,5
15,71,36,38
47,49,81,99
